	Compound name	Molecular weight	Molecular formula
177	Bromothymol Blue	624.384 g/mol	C27H28Br2O5S
178	Ammonium iodide	144.94 g/mol	NH4I
179	Ammonium nitrite	64.06 g/mol	NH4NO2
180	Ammonium oxide	52.0763 g/mol	(NH4)2O
181	Argon gas	39.948 g/mol	Ar
182	Barium bromide	297.14 g/mol	BaBr2
183	Barium iodide	391.136 g/mol	BaI2
184	Bromate	127.901 g/mol	BrO3–
185	Dinitrogen trioxide	76.01 g/mol	N2O3
186	Ethylene glycol	62.07 g/mol	C2H6O2
187	Nickel sulfate	154.75 g/mol	NiSO4
188	Helium	atomic mass ‎4.002602 u	He
189	Iodide	253.809 g/mol	I–
190	Lead ii acetate	‎325.29 g/mol	Pb(C2H3O2)2
191	Lithium chloride	42.394 g/mol	LiCl
192	Phosphate ion	94.9714 g/mol	PO43-
193	Potassium fluoride	58.0967 g/mol	KF
194	Potassium sulfite	158.26 g/mol	K2SO3
195	Silver carbonate	275.7453 g/mol	Ag2CO3
196	Sodium cyanide	49.0072 g/mol	NaCN
197	Sodium nitride	82.976 g/mol	Na3N
198	Strontium chloride	158.52 g/mol	SrCl2
199	Strontium nitrate	211.628 g/mol	Sr(NO3)2
200	Urea	‎60.056 g/mol	CH4N2O
201	Bleach	‎74.439 g/mol	NaClO
202	Lithium bromide	86.844 g/mol	LiBr
203	Aluminum fluoride	83.9767 g/mol	AlF3
204	Barium fluoride	175.34 g/mol	BaF2
205	Butanoic acid	88.11 g/mol	C4H8O2
206	Calcium hydride	42.094 g/mol	CaH2
207	Copper ii carbonate	123.55 g/mol	CuCO3
208	Fluorine	18.998403 u	F
209	Lithium phosphate	115.79 g/mol	Li3PO4
210	Glycerol	92.09382 g/mol	C3H8O3
211	Hypobromous acid	96.911 g/mol	HBrO
212	Hypoiodous acid	143.89 g/mol	HIO
213	Lead iodide	461.01 g/mol	PbI2
214	Lithium iodide	133.844 g/mol	LiI
215	Magnesium oxide	40.3044 g/mol	MgO
216	Urethane	89.09 g/mol	 C3H7NO2
217	Nickel nitrate	182.703 g/mol	Ni(NO3)2
218	Sodium dichromate	261.97 g/mol	Na2Cr2O7
219	Tartaric acid	150.087 g/mol	C4H6O6
220	Zinc iodide	319.22 g/mol	ZnI2
221	Bromine	54.9380 g/mol	Br
222	Aluminum bromide	266.69 g/mol	AlBr3
223	Sodium Percarbonate	157.01 g/mol	C2H6Na4O12
224	Nickel acetate	178.797 g/mol	C4H6O4Ni
225	Sodium Thiosulfate	158.11 g/mol	Na2S2O3
226	Acetaldehyde	44.05 g/mol	C2H4O
227	Copper sulfate	159.609 g/mol	CuSO4
228	Mannitol	182.172 g/mol	C6H14O6
229	Calcium Chloride	110.98 g/mol	CaCl2
230	Monosodium Glutamate	169.111 g/mol	C5H8NO4Na
231	Polystyrene	104.1 g/mol	(C8H8)n
232	Calcium Carbide	64.099 g/mol	CaC2
233	Tetrachloroethylene	165.83 g/mol	C2Cl4
234	Sodium Chlorate	106.44 g/mol	NaClO3
235	Potassium Iodate	214.001 g/mol	KIO3
236	Lead Acetate	325.29 g/mol	Pb(C2H3O2)2
237	Potassium Thiocyanate	97.181 g/mol	KSCN
238	Butane	58.12 g/mol	C4H10
239	Maltose	342.3 g/mol	C12H22O11
240	Polyurethane Foam	548.589 g/mol	C27H36N2O10
241	Formaldehyde	30.031 g/mol	CH2O
242	Formic Acid	46.03 g/mol	HCOOH
243	Sulfur Hexafluoride	146.06 g/mol	SF6
244	Phosphorus Trichloride	137.33 g/mol	PCl3
245	Ethane	30.07 g/mol	C2H6
246	Dinitrogen Pentoxide	30.07 g/mol	N2O5
247	Phosphorous Acid	82 g/mol	H3PO3
248	Potassium Ferrocyanide	368.35 g/mol	K4Fe(CN)6
249	Xenon Difluoride	169.29 g/mol	XeF2
250	Diatomic Bromine	159.808 g/mol	Br2
251	Phenyl	77.106 g/mol	C6H5
252	Phosphorus Triiodide	411.6872 g/mol	PI3
253	Peroxydisulfuric Acid	194.14 g/mol	H2S2O8
254	Dipotassium Phosphate	174.2 g/mol	K2HPO4
255	Aluminium hydroxide	78.00 g/mol	Al(OH)3
256	Ammonium persulfate	228.18 g/mol	(NH4)2S2O8
257	Sodium borate	201.22 g/mol	Na2[B4O5(OH)4]·8H2O
258	Chloroacetic acid	94.49 g/mol	C2H3O2Cl
259	Potassium acetate	98.142 g/mol	CH3CO2K
260	Barium oxide	153.326 g/mol	BaO
261	Copper(I) Oxide	143.09 g/mol	Cu2O
262	Copper Hydroxide	97.561 g/mol	Cu(OH)2
263	Tin Oxide	97.561 g/mol	SnO2
264	Chlorine Trifluoride	92.448 g/mol	ClF3
265	Ethylene	28.054 g/mol	C2H4
266	Acetylene	26.038 g/mol	C2H2
267	Chromic Oxide	151.9904 g/mol	Cr2O3
268	Sodium bisulfate	120.06 g/mol	NaHSO4
269	Copper (II) chloride	134.45 g/mol	CuCl2
270	Mercuric chloride	271.52 g/mol	HgCl2
271	Tin (II) chloride	189.60 g/mol	SnCl2
272	Propane	44.097 g/mol	C3H8
273	Lead (IV) oxide	239.1988 g/mol	PbO2
